region,AGG_COUNT,Mean,Head_Count,Poverty_Gap,Gini
Adamaoua,19,107017.8485,0.553731364,0.207054182,0.242175894
Centre,70,147924.2529,0.353482762,0.115819058,0.220144743
Est,33,111836.044,0.539791948,0.180874272,0.218024149
Extr̻me-Nord,46,89491.10491,0.70322981,0.295382988,0.138757959
Littoral,35,165560.9223,0.247785701,0.078409221,0.213299767
Nord,22,84210.22995,0.715519125,0.318731998,0.249390766
Nord-Ouest,34,126731.2322,0.454689132,0.159358513,0.21510728
Ouest,41,141130.2062,0.346717211,0.109427176,0.23193276
Sud,29,147131.1806,0.355878366,0.110309705,0.224375436
Sud-Ouest,31,149107.1669,0.359883835,0.135999971,0.209731996
