subdivision,Mean,Head_Count,Poverty_Gap,Gini,wealthQuantile
AbongMbang,140700.2414,0.396968078,0.111211871,0.323970344,Richer
Ako,50397.29375,0.988214286,0.442217854,0.14561164,Poorest
Akoéman,94000.40829,0.603148148,0.144997074,0.219184777,Poorer
Akono,103812.4614,0.494230769,0.114129636,0.237200311,Poorer
Akonolinga,119162.1899,0.524777819,0.186614919,0.357673134,Poorer
Ambam,158263.5486,0.327480741,0.080013532,0.33488558,Richest
Assamba,85892.19303,0.661428571,0.179176273,0.206345253,Poorest
Atok,73194.79775,0.8175,0.225727048,0.145871495,Poorest
Babadjou,120030.1837,0.384642857,0.095593462,0.257699437,Poorer
Bafang,187357.5861,0.080617573,0.013522589,0.227206079,Richest
Bafia,240310.1019,0.004464286,0.000265613,0.217875122,Richest
Bafoussam1,225043.7244,0.034813186,0.005971434,0.212113461,Richest
Bafoussam3,90242.19154,0.622142857,0.168582101,0.22695638,Poorer
Balikumbat,96844.61922,0.569464286,0.167334741,0.259224557,Poorer
Bamenda2,227327.1053,0.051883481,0.00963087,0.24040807,Richest
Bamendjou,153233.2766,0.200178571,0.042755157,0.25353381,Richest
Bandja,114643.368,0.381785714,0.073366716,0.229381645,Poorer
Bandjoun,130089.3466,0.244285714,0.047592215,0.208866104,Middle
Bangangté,219514.5803,0.03875,0.00443527,0.220956507,Richest
Bangou,142704.0306,0.268269231,0.053864829,0.25947463,Richer
Bankim,68806.5741,0.814782644,0.32193188,0.258969907,Poorest
Banyo,88055.03196,0.661648863,0.268304719,0.336532301,Poorest
Bardanké,174982.4802,0.171619767,0.047860539,0.272800325,Richest
Batcham,92220.96726,0.567031644,0.158551286,0.232620304,Poorer
Batouri,166831.6731,0.300230592,0.092159419,0.318897232,Richest
Bazou,134045.0955,0.212327168,0.041252808,0.212412816,Richer
Béka,69958.04591,0.752433931,0.317916038,0.283187591,Poorest
Bélabo,116621.6399,0.498906552,0.171898021,0.337614361,Poorer
Belel,124989.1157,0.273148148,0.057225826,0.212491358,Poorer
Bengbis,125812.7484,0.466582315,0.138930835,0.328095404,Poorer
Bertoua1,234930.4945,0.088404152,0.023546098,0.244508643,Richest
BétaréOya,61050.82755,0.8815,0.347412162,0.19090842,Poorest
Bibémi,62677.73215,0.827975282,0.381286363,0.288544899,Poorest
Blangoua,82881.85482,0.675892857,0.18502516,0.196298843,Poorest
Bogo,128321.6496,0.341071429,0.08419277,0.265394433,Poorer
Bokito,82010.81858,0.70625,0.209818408,0.21683463,Poorest
Bonaléa,156246.672,0.094107143,0.020880339,0.172923984,Richest
Bourrah,57361.28868,0.9176764,0.37870315,0.195793716,Poorest
Buéa,280379.1018,0.003805628,0.000380405,0.181030095,Richest
Campo,221381.2231,0.027777778,0.003369436,0.194553761,Richest
Dargala,44468.65038,0.991111111,0.507658943,0.149629931,Poorest
Demsa,97642.0444,0.536923077,0.233346805,0.327666967,Poorer
Deuk,93914.38379,0.524107143,0.137058775,0.201770162,Poorer
Dibang,131463.427,0.316964286,0.079191607,0.261624653,Richer
Dibombari,206814.6456,0.044642857,0.00686715,0.193609548,Richest
Dir,41556.549,0.984448552,0.543240818,0.177188443,Poorest
Dizangué,169946.0942,0.0742,0.01102778,0.186979971,Richest
Djohong,71082.90885,0.790434783,0.311210502,0.258546037,Poorest
Douala1,268787.8516,0.008052009,0.001692744,0.188508066,Richest
Douala2,245874.3445,0.018987552,0.003233952,0.204723476,Richest
Douala3,284618.3462,0.00113711,9.53E-05,0.196135,Richest
Douala4,289598.4381,0.003140106,0.000303129,0.194579563,Richest
Douala5,301032.4534,0.002824403,0.000320491,0.196335818,Richest
Doumé,138453.2334,0.249464286,0.046096893,0.252171663,Richer
Doumétang,105226.1427,0.52125,0.124342392,0.254087959,Poorer
Dschang,208536.354,0.097426867,0.017601388,0.253171298,Richest
Ebebda,127861.2724,0.261428571,0.060579743,0.233490006,Poorer
Ebolowa1,228668.5628,0.041411171,0.005724279,0.258927919,Richest
Ebolowa2,191024.6487,0.192201051,0.044292136,0.313515311,Richest
Edéa1,262456.906,0.010242723,0.000998875,0.19196344,Richest
Edéa2,176453.9066,0.123950313,0.033326996,0.239459571,Richest
Efoulan,83615.49305,0.675185185,0.189266203,0.201216206,Poorest
EligMfomo,125590.2153,0.268888889,0.056025422,0.210232328,Poorer
Endom,97550.81916,0.596607143,0.16768994,0.277453805,Poorer
Eséka,221311.1784,0.013333333,0.001572955,0.164395516,Richest
Esse,157210.3684,0.143269231,0.029943547,0.227583374,Richest
Figuil,42351.76318,0.996428571,0.530361353,0.148660403,Poorest
Foumban,218821.4091,0.014325971,0.001646129,0.2014543,Richest
Foumbot,133275.9519,0.416577362,0.135944811,0.33323271,Richer
Galim,61149.10776,0.8825,0.358600947,0.200816807,Poorest
Garoua2,88648.45058,0.693035714,0.220181803,0.280905777,Poorer
GarouaBoulaî,109673.0972,0.482749808,0.180364492,0.312490411,Poorer
Guider,85388.22465,0.697966595,0.301303466,0.366665925,Poorest
HiléAlifa,55807.66303,0.975535714,0.383958207,0.135144522,Poorest
Jakiri,197613.591,0.046171194,0.008187359,0.196614008,Richest
Kaele,158720.5928,0.159107143,0.039015757,0.229044477,Richest
Kalfou,36348.70251,0.999642857,0.596738992,0.158224325,Poorest
KayKay,52320.46094,0.931785714,0.437264898,0.209558063,Poorest
Kekem,221291.9439,0.013035714,0.001420386,0.193128217,Richest
Kétté,72395.03684,0.767857143,0.256018104,0.201897761,Poorest
Kolofata,54030.0515,0.941827813,0.418321745,0.196281872,Poorest
Kouoptamo,151070.8603,0.253493055,0.062053444,0.268290381,Richest
Kousséri,159791.558,0.184650669,0.038948461,0.25139774,Richest
Koutaba,133602.7416,0.292008612,0.07557809,0.262094798,Richer
Kribi1,306682.195,0.002413793,0.000180952,0.188931623,Richest
Kribi2,249763.9862,0.001153846,6.44E-05,0.184376185,Richest
Kumba1,254111.6449,0.000412165,3.67E-05,0.183685309,Richest
Kumbo,191425.948,0.024642857,0.003536001,0.192877743,Richest
KyéOssi,141092.6527,0.321262411,0.074305074,0.289676539,Richer
Lagdo,42254.82875,0.995137986,0.532280803,0.162073344,Poorest
Limbé1,283065.1734,0.002609943,0.00028195,0.185290846,Richest
LogoneBirni,52704.03784,0.94875,0.42638659,0.183953819,Poorest
Lomié,79039.47455,0.714285714,0.221689241,0.212046665,Poorest
Loum,166538.9453,0.319380056,0.109498756,0.328863163,Richest
Ma'an,84735.20641,0.645,0.166706295,0.179827768,Poorest
Madingring,53481.99946,0.928928571,0.43207694,0.216991866,Poorest
Maga,33788.82792,1,0.625117157,-3,Poorest
Makak,134156.413,0.305535714,0.083234917,0.258036526,Richer
Makari,66650.06005,0.824493034,0.305109928,0.213338423,Poorest
Makénéné,153834.3995,0.168035714,0.039049784,0.218196548,Richest
Malantouen,138568.7523,0.355597156,0.097496573,0.302528088,Richer
Mandjou,64039.30994,0.888392857,0.315549555,0.171884012,Poorest
Manjo,175193.6661,0.086334372,0.016116463,0.205445771,Richest
Maroua2,188139.1934,0.149973728,0.033848329,0.280283436,Richest
Maroua3,58513.19739,0.894271785,0.3791804,0.206063859,Poorest
Martap,67361.54654,0.823518519,0.294264717,0.198931394,Poorest
MayoBaléo,68103.02773,0.8275,0.279264139,0.186701149,Poorest
MayoDarlé,138496.824,0.325384615,0.08217008,0.276435691,Richer
MayoOulo,82068.56336,0.754255387,0.274865113,0.312079718,Poorest
Mbalmayo,275229.698,0.01377793,0.001721021,0.20986522,Richest
Mbandjock,156020.9419,0.265749677,0.070199763,0.29335452,Richest
Mbang,102910.8513,0.34625,0.05979762,0.139145549,Poorer
Mbanga,156163.3622,0.161340462,0.032284067,0.249932824,Richest
Mbangassina,157473.6299,0.156340506,0.031975479,0.235900086,Richest
Mbankomo,119004.0539,0.319259259,0.071314711,0.215506614,Poorer
Mbé,74471.49474,0.752857143,0.237822864,0.191380224,Poorest
Mbouda,191990.6019,0.186760199,0.034916299,0.32427497,Richest
Mbven,143708.0069,0.193653846,0.042234333,0.22056631,Richest
Meiganga,168702.329,0.235463852,0.072335761,0.310954374,Richest
Melong,129405.0637,0.279083354,0.074621262,0.237585112,Middle
Mengong,142522.27,0.246897201,0.046709898,0.260868386,Richer
Méri,49046.34963,0.981785714,0.457937269,0.160011141,Poorest
Messamena,61779.32264,0.945178571,0.321011921,0.133181187,Poorest
Meyomessala,114854.4739,0.316785714,0.051461592,0.183106324,Poorer
Meyomessi,103584.5205,0.450178571,0.112181998,0.217725233,Poorer
Mfou,178838.4287,0.086533688,0.017973785,0.22924141,Richest
Mindif,48348.74291,0.943703704,0.481936274,0.21393396,Poorest
Mintom2,64356.9179,0.898392857,0.304772147,0.157302834,Poorest
Misaje,86667.83402,0.604464286,0.164211028,0.193019058,Poorest
Mogodé,68096.18999,0.81342099,0.29292978,0.208206699,Poorest
Mokolo,86524.35769,0.652463662,0.25348886,0.310750012,Poorest
Moloundou,62949.8399,0.933035714,0.324333881,0.153772605,Poorest
Mora,63375.42582,0.830543611,0.37466507,0.281133688,Poorest
Mouanko,112124.0066,0.3618,0.07531781,0.201762866,Poorer
Moulvouday,37401.37348,0.999815704,0.585045171,0.146362622,Poorest
Mvengué,91921.33187,0.601964286,0.155608007,0.221254522,Poorer
NangaEboko,199662.2657,0.043928571,0.005616149,0.202919673,Richest
Ndélélé,66737.85569,0.853843248,0.297555343,0.190093802,Poorest
NdemNam,60796.06371,0.900535714,0.347861915,0.177459894,Poorest
Ndom,122441.0464,0.408571429,0.121944058,0.283992463,Poorer
Ndop,142406.2815,0.346083243,0.086702608,0.318958007,Richer
Ndoukoula,49730.2223,0.987407407,0.449371513,0.151101379,Poorest
Ndu,72824.89523,0.805714286,0.239453262,0.168481396,Poorest
Ngambé,128998.2581,0.220416667,0.039400579,0.203047658,Middle
Nganha,72363.62147,0.758214286,0.260994727,0.217187082,Poorest
Ngaoundal,106904.1659,0.367318114,0.151853219,0.26261744,Poorer
Ngaoundéré1,201417.0937,0.050556904,0.009267307,0.222003127,Richest
Ngaoundéré3,181283.6203,0.116035779,0.025462216,0.222750819,Richest
NgogMapubi,228352.5,0.057407407,0.012908608,0.213742972,Richest
Ngoura,103761.5611,0.408214286,0.10991811,0.20962469,Poorer
Nguélémendouga,72224.60393,0.831851852,0.234374663,0.150336473,Poorest
NjombéPenja,179174.2607,0.057581007,0.008007115,0.204719966,Richest
Nkambe,87726.20389,0.653575767,0.194714441,0.246610621,Poorest
Nkondjock,81679.03571,0.685357143,0.173727594,0.166343027,Poorest
Nkong-Nkhi,113356.7976,0.373380793,0.080618432,0.225669773,Poorer
Nkongsamba1,133951.5069,0.204464286,0.037815249,0.197233463,Richer
Nkongsamba3,196741.7003,0.057221562,0.008313536,0.211767573,Richest
Nkum,74627.25981,0.783,0.250454897,0.202315336,Poorest
Noni,63119.3542,0.885,0.323911263,0.176021349,Poorest
Nsem,68186.32453,0.879107143,0.266402419,0.144504763,Poorest
Ntui,97570.15402,0.549464286,0.143360741,0.232597529,Poorer
Nwa,58801.24188,0.932884615,0.358146856,0.16291696,Poorest
Nyambaka,58493.21184,0.914259477,0.403889369,0.244408072,Poorest
Nyé'été,181862.0148,0.01066149,0.00096632,0.155839971,Richest
Obala,156656.2261,0.387291358,0.103994587,0.355295601,Richest
Okola,108601.8504,0.48691336,0.124484088,0.265869845,Poorer
Oku,118234.0732,0.404657605,0.105545109,0.256900178,Poorer
Ombessa,83165.68996,0.669285714,0.174921414,0.17995347,Poorest
PenkaMichel,107107.7354,0.4125,0.082099293,0.201478169,Poorer
Pété,56901.08521,0.940892857,0.378042594,0.163917095,Poorest
Pitoa,50508.6719,0.921387426,0.468441457,0.231920036,Poorest
Poli,44144.25189,0.984821429,0.512209001,0.179737746,Poorest
Porhi,40927.20025,0.99462963,0.546724856,0.163664386,Poorest
Pouma,121055.0186,0.319821429,0.068064273,0.224244592,Poorer
Poumegne,169243.1624,0.293571429,0.06441545,0.331840299,Richest
ReyBouba,49941.69446,0.905617891,0.480334769,0.271269442,Poorest
Sa'a,151572.792,0.184370409,0.039424435,0.246021881,Richest
Salapoumbé,139512.5336,0.118214286,0.019827388,0.158718929,Richer
Sangmélima,217847.604,0.155107899,0.040251132,0.274756867,Richest
Santchou,112186.7128,0.426851852,0.094509983,0.241891599,Poorer
Soa,251688.3634,0.005056761,0.0004958,0.180694962,Richest
Tchatibali,49579.49195,0.903805918,0.481869042,0.278668004,Poorest
Tchéboa,86835.48787,0.646625437,0.25169231,0.309087407,Poorest
Tcholliré,108525.8802,0.537003591,0.213547597,0.346587274,Poorer
Tibati,149574.5505,0.320742761,0.097688199,0.311818831,Richest
Tignère,100177.3934,0.558456062,0.18061642,0.288810707,Poorer
Tiko,260369.124,0.006444037,0.000550968,0.190050451,Richest
Tokombéré,52981.93585,0.97125,0.416009171,0.157551276,Poorest
Touboro,57830.3687,0.875597431,0.406512338,0.255346744,Poorest
Touroua,42739.81435,0.983928571,0.528131375,0.184512696,Poorest
Tubah,223464.7615,0.093744011,0.024922269,0.274815154,Richest
Yabassi,156834.3905,0.14962963,0.02436851,0.22449334,Richest
Yagoua,80234.69604,0.741163592,0.381758856,0.413691633,Poorest
Yaoundé1,246650.1569,0.009320478,0.000976181,0.205115678,Richest
Yaoundé2,246448.0996,0.01375,0.001442368,0.214675566,Richest
Yaoundé3,263527.2694,0.003392861,0.000275918,0.21783565,Richest
Yaoundé4,276901.4549,0.006824628,0.001125373,0.192870074,Richest
Yaoundé5,298045.4482,0.002761409,0.000318471,0.204124365,Richest
Yaoundé6,275453.2094,0.004366202,0.000509931,0.196714395,Richest
Yokadouma,113782.9379,0.530261021,0.206576216,0.360808588,Poorer
Zina,62623.03436,0.895769231,0.323198282,0.172681904,Poorest
Zoétélé,123644.9639,0.28375,0.055531001,0.211324069,Poorer
Afanloum,129550.015,0.434050155,0.159772458,0.213203455,Middle
Akom2,130863.4299,0.418793805,0.156617356,0.213570318,Richer
Akwaya,130593.1023,0.42061729,0.157399204,0.213535991,Richer
Alou,130695.3361,0.418340626,0.156470652,0.213048187,Richer
Awaé,129867.956,0.430518772,0.158593884,0.213181318,Middle
Ayos,128997.7432,0.440988343,0.160233206,0.213458093,Middle
Babessi,129986.3708,0.427723702,0.158127345,0.213663496,Middle
Bachéo,121537.8039,0.516271424,0.178787821,0.209019941,Poorer
Bafoussam2,130436.9067,0.421872987,0.157033174,0.21387176,Middle
Bafut,130306.4144,0.423181896,0.157685433,0.213680744,Middle
Baham,130553.2115,0.418828201,0.157173537,0.213434653,Middle
Bakou,130868.86,0.415928543,0.156522938,0.213179082,Richer
Bali,130452.9373,0.421492417,0.156645848,0.213725512,Middle
Bamenda1,130352.8208,0.4222329,0.157397769,0.213411643,Middle
Bamenda3,130325.4565,0.42371393,0.158020875,0.213444494,Middle
Bamuso,131535.3704,0.409795515,0.155666485,0.212824049,Richer
Bana,130697.8125,0.417290921,0.156643737,0.213377466,Richer
Bangem,131186.2915,0.413035731,0.155876551,0.2137867,Richer
Bangourain,129971.1995,0.426669125,0.158373717,0.213263785,Middle
Banka,130780.6451,0.417077364,0.156580154,0.212990905,Richer
Banwa,130905.1384,0.415763583,0.156482481,0.213910795,Richer
Baré,131072.1784,0.414289292,0.156177772,0.213206461,Richer
BaréBakem,130986.972,0.414729816,0.155923843,0.214012418,Richer
Bassamba,130567.1169,0.419069636,0.156330992,0.213173372,Richer
Batchenga,129649.1151,0.431455552,0.158442949,0.213588326,Middle
Batibo,130528.0399,0.420981977,0.156735919,0.214021921,Middle
Batie,130589.3063,0.418995604,0.156735771,0.214100915,Richer
Bayangam,130535.6722,0.419418662,0.156970701,0.213694982,Middle
Belo,129987.5907,0.428282923,0.158501907,0.213554467,Middle
Bertoua2,128427.3895,0.446997283,0.161994408,0.21274782,Poorer
Bibé,128731.5012,0.44319381,0.160853144,0.212800839,Middle
Bikok,130445.451,0.423615086,0.157533593,0.213523469,Middle
Bipindi,130828.152,0.419116761,0.156453472,0.213664768,Richer
BiwongBane,130552.2886,0.42178477,0.157276056,0.213844214,Middle
BiwongBulu,130383.2285,0.424339822,0.157397904,0.214017449,Middle
Biyouha,130809.195,0.418455568,0.157243128,0.213375333,Richer
Bombé,128431.2539,0.447718069,0.1618418,0.21351051,Poorer
Bondjock,130560.2096,0.421776098,0.157063524,0.213195605,Richer
BotMakak,130537.9893,0.422041805,0.157260433,0.213432919,Middle
Bum,129662.1881,0.43255271,0.15860944,0.213681804,Middle
Darrak,117997.8614,0.547861696,0.185301394,0.20450889,Poorer
Datchéka,118728.0149,0.545862134,0.186144307,0.204639911,Poorer
Dembo,121405.4797,0.517306317,0.178941466,0.208537397,Poorer
Diang,128579.5568,0.445821829,0.161448364,0.212988233,Poorer
Dibamba,131318.0633,0.412411045,0.156207634,0.213485573,Richer
Dikomevalue,131295.0539,0.412797114,0.155756784,0.213212308,Richer
Dimako,128513.9902,0.446739782,0.161206982,0.212559762,Poorer
Dja,128847.5003,0.443687265,0.159960622,0.21330764,Middle
Djemrem,130474.4823,0.420810232,0.15694868,0.213737356,Middle
Djoum,129503.566,0.435313562,0.158472996,0.213097955,Middle
Douala6,131410.1401,0.410922307,0.155859367,0.213071082,Richer
Dzeng,129923.1338,0.429515251,0.158432937,0.213351203,Middle
Edzendouan,129739.0954,0.431427248,0.158648851,0.213253947,Middle
EkondoTiti,131387.434,0.410898119,0.156183471,0.213669864,Richer
Evodoula,130262.2268,0.424781058,0.157882083,0.213689133,Middle
Eyumodjock,130909.3169,0.415831299,0.15614468,0.213460397,Richer
Fokoue,130676.8066,0.417618894,0.156902689,0.213536923,Richer
FongoTongo,130652.214,0.418993495,0.156351741,0.213245184,Richer
Fontem,130801.0256,0.417087201,0.156610977,0.213358855,Richer
Fundong,129849.5319,0.429014643,0.158129971,0.213029759,Middle
Fungom,129870.6166,0.428746527,0.158232357,0.213865046,Middle
FuruAwa,129645.3898,0.432136677,0.158945733,0.212899927,Middle
GalimTignère,126230.391,0.468381504,0.167292267,0.211840388,Poorer
GariGombo,128674.8598,0.444389101,0.160231346,0.21351349,Middle
Garoua1,122344.2078,0.508261658,0.176338705,0.209854997,Poorer
Garoua3,122381.1109,0.507639222,0.175830838,0.209760839,Poorer
Gasawa,119355.9951,0.537336283,0.183732784,0.205934682,Poorer
Gobo,118673.1094,0.54597589,0.186012693,0.204835769,Poorer
Goulfey,118060.0061,0.548230479,0.184217085,0.203411934,Poorer
Guéré,118671.6583,0.546298887,0.186125627,0.205161326,Poorer
Guidiguis,119209.4183,0.540154532,0.184063613,0.204882966,Poorer
Hina,119911.5617,0.531884612,0.182229279,0.206851611,Poorer
Idabato,131397.9559,0.411405205,0.156095186,0.213347769,Richer
Isangele,131348.4049,0.411714447,0.156076603,0.213243045,Richer
KarHay,118750.0307,0.544898107,0.187129217,0.20479014,Poorer
Kiiki,130116.3463,0.425668055,0.158019638,0.213214887,Middle
KomboAbedimo,131385.5679,0.411465859,0.155749744,0.213434333,Richer
KomboEtindi,131410.8461,0.411253318,0.156286232,0.213207416,Richer
Kon-Yambetta,130244.93,0.423500823,0.157544122,0.21319146,Middle
Kontcha,124976.1546,0.482255461,0.169857055,0.211385522,Poorer
Konye,131287.9501,0.412116892,0.15592224,0.213006642,Richer
Koza,119193.3422,0.539208928,0.184195042,0.204935696,Poorer
Kumba2,131493.7716,0.409450827,0.155413372,0.213227092,Richer
Kumba3,131590.1667,0.409287051,0.156010155,0.212732753,Richer
LembéYézoum,129363.9318,0.435538975,0.159287453,0.213127133,Middle
Limbé2,132107.4065,0.405272717,0.155056286,0.213196678,Richer
Limbé3,132188.0024,0.405456052,0.154650166,0.213293747,Richer
Lobo,130511.1541,0.422061052,0.157291182,0.213509747,Middle
Lokoundje,131048.0579,0.41663718,0.156303504,0.213409065,Richer
Lolodorf,130714.0151,0.419790704,0.15650141,0.213780688,Richer
Magba,129130.5349,0.437866914,0.160669226,0.213292972,Middle
Mamfé,130800.4349,0.418339909,0.156614418,0.214204064,Richer
Maroua1,119283.462,0.538062184,0.183697144,0.205150406,Poorer
Massangam,130034.2998,0.426047589,0.158393059,0.212460811,Middle
MassokSongLoulou,130754.1217,0.419068476,0.156863147,0.21413715,Richer
Matomb,130599.97,0.420588487,0.157020905,0.213085596,Richer
MayoMoskota,119206.4761,0.538683171,0.183480083,0.205656395,Poorer
Mbeggwi,130443.2625,0.421633314,0.156967443,0.213407233,Middle
Mboma,128765.1232,0.443221553,0.161197429,0.212913993,Middle
Mbongé,131624.655,0.40969091,0.155745359,0.213201307,Richer
Mbotoro,128108.0709,0.450123812,0.162706795,0.212196544,Poorer
Mbouanz,128831.5385,0.442654221,0.159944652,0.212758021,Middle
MenchumValley,130217.2152,0.424404959,0.157469261,0.213729193,Middle
Mengang,129701.5631,0.43215007,0.159241427,0.213291166,Middle
Mengueme,130372.1453,0.424863934,0.157863919,0.213651695,Middle
Messok,128913.0377,0.441510239,0.160131612,0.213057282,Middle
Messondo,130883.175,0.417279757,0.156745657,0.213249216,Richer
Minta,128663.5573,0.444173219,0.161107078,0.213246453,Poorer
Mombo,131536.6065,0.409642284,0.155743977,0.213609022,Richer
Monatelé,130133.4515,0.42562809,0.158532842,0.213195448,Middle
Montouroua,119773.8989,0.533435005,0.183604849,0.206386881,Poorer
Mundemba,131210.2639,0.413287686,0.156412447,0.213810532,Richer
Muyuka,131746.7977,0.408220972,0.155767633,0.212874613,Richer
Mvangan,130305.9334,0.425177645,0.157635473,0.214287206,Middle
Ndikiniméki,130513.0409,0.420682718,0.158049542,0.213363088,Middle
NgambéTikar,129196.8967,0.435948919,0.160180556,0.212979305,Middle
Ngaoundéré2,125269.6722,0.47774392,0.169194431,0.211774644,Poorer
Ngie,130502.4643,0.421297019,0.156891914,0.213678345,Middle
Ngoïla,128913.0378,0.442995199,0.16066415,0.212866422,Middle
Ngomedzap,130471.5208,0.422821131,0.156840994,0.213587423,Middle
Ngoro,129323.5267,0.434296396,0.159829699,0.212945298,Middle
Ngoulémakong,130337.5583,0.424613779,0.157146922,0.213400764,Middle
Ngoumou,130517.306,0.422454045,0.157011472,0.213773753,Middle
Nguibassal,130352.6699,0.423179445,0.157357875,0.213473399,Middle
Nguti,130961.9619,0.415825916,0.156611004,0.213759675,Richer
Ngwei,130997.4803,0.416511401,0.15677869,0.213075776,Richer
Njikwa,130443.0022,0.422429156,0.157438794,0.213807485,Middle
Njimom,129563.7925,0.431249835,0.159101446,0.213538717,Middle
Njinikom,130111.4516,0.426235667,0.157951869,0.214036611,Middle
Nkolmetet,130120.9571,0.427401672,0.157809318,0.213755629,Middle
Nkongsamba2,131162.2407,0.41266814,0.155964905,0.213305427,Richer
Nkoteng,129159.895,0.436680242,0.160288496,0.212719532,Middle
Nlolofamba,130235.7596,0.426070284,0.158477419,0.213473692,Middle
Nlonako,131208.4,0.413067359,0.15597149,0.213004752,Richer
NordMakombé,130685.4931,0.417859883,0.156721574,0.213383614,Richer
Ntoukou,130351.3658,0.422542771,0.157175828,0.213582902,Middle
Nyakokombo,128939.0262,0.441369837,0.160626121,0.213037693,Middle
Nyanon,130477.3563,0.421606771,0.157068883,0.212929527,Middle
Olamzé,130674.256,0.421045758,0.156822062,0.213745397,Richer
Oveng,129959.3908,0.429652532,0.158019024,0.213885332,Middle
Santa,130413.7303,0.422292367,0.157309544,0.213470576,Middle
Somalomo,128972.5549,0.442382073,0.160250477,0.212886503,Middle
SoulédéRoua,119197.4869,0.539652292,0.183375165,0.205562146,Poorer
Taîbong,118935.7417,0.543223963,0.185132094,0.204976703,Poorer
Toko,131033.8969,0.41486539,0.156266515,0.213227499,Richer
Tombel,131398.7085,0.409985712,0.155865589,0.213715552,Richer
Tonga,130573.9737,0.419030543,0.156911077,0.213340916,Richer
UpperBayang,130708.8315,0.418407067,0.157034549,0.213885445,Richer
Vélé,118680.5282,0.544658811,0.185746777,0.203746731,Poorer
Wabane,130579.5056,0.419563632,0.157077622,0.214402372,Richer
Waza,118652.7958,0.545080281,0.184943874,0.204637233,Poorer
WestCoast,131719.0697,0.409114662,0.155985146,0.212968293,Richer
WidikumMenka,130595.9167,0.420291358,0.157117316,0.21373675,Richer
Wina,118691.5437,0.545621721,0.186039173,0.204715445,Poorer
Wum,129979.0261,0.427632579,0.158807797,0.213462123,Middle
Yaoundé7,130457.6513,0.422849493,0.157649115,0.21284539,Middle
Yingui,130893.3078,0.417437142,0.156815456,0.213620769,Richer
Yoko,128265.023,0.446853936,0.162633388,0.213078059,Poorer
